Error:R=0.00,F=0.00,Control:R=0,F=0,Speed:(212,212),Time:549us | Chế độ: THƯỜNG,PID:0.38,0.00,0.00
Error:R=-0.05,F=0.00,Control:R=0,F=0,Speed:(212,212),Time:551us | Chế độ: THƯỜNG,PID:0.38,0.00,0.00
Error:R=-0.01,F=0.00,Control:R=0,F=0,Speed:(212,212),Time:549us | Chế độ: THƯỜNG,PID:0.38,0.00,0.00
Error:R=-0.10,F=0.00,Control:R=0,F=0,Speed:(212,212),Time:549us | Chế độ: THƯỜNG,PID:0.38,0.00,0.00
Error:R=-0.02,F=0.00,Control:R=0,F=0,Speed:(212,212),Time:552us | Chế độ: THƯỜNG,PID:0.38,0.00,0.00
Error:R=0.01,F=0.00,Control:R=0,F=0,Speed:(212,212),Time:551us | Chế độ: THƯỜNG,PID:0.38,0.00,0.00
Màu: XANH DƯƠNG | R:1256(0.276) G:1745(0.383) B:2264(0.497) C:4555
Error:R=0.04,F=0.00,Control:R=0,F=0,Speed:(212,212),Time:551us | Chế độ: THƯỜNG,PID:0.38,0.00,0.00
Error:R=-0.05,F=0.00,Control:R=0,F=0,Speed:(212,212),Time:552us | Chế độ: THƯỜNG,PID:0.38,0.00,0.00
Error:R=0.00,F=0.00,Control:R=0,F=0,Speed:(212,212),Time:552us | Chế độ: THƯỜNG,PID:0.38,0.00,0.00
Error:R=11.70,F=0.00,Control:R=4,F=2,Speed:(210,214),Time:553us | Chế độ: THƯỜNG,PID:0.38,0.00,0.00
Error:R=21.92,F=0.00,Control:R=8,F=7,Speed:(205,219),Time:609us | Chế độ: THƯỜNG,PID:0.38,0.00,0.00
Error:R=19.62,F=0.00,Control:R=7,F=7,Speed:(205,219),Time:558us | Chế độ: THƯỜNG,PID:0.38,0.00,0.00
Màu: ĐEN | R:1328(0.354) G:1374(0.366) B:1095(0.292) C:3754
Error:R=19.24,F=0.00,Control:R=7,F=7,Speed:(205,219),Time:552us | Chế độ: THƯỜNG,PID:0.38,0.00,0.00
Error:R=18.26,F=0.00,Control:R=6,F=6,Speed:(206,218),Time:553us | Chế độ: THƯỜNG,PID:0.38,0.00,0.00
Error:R=13.85,F=0.00,Control:R=5,F=5,Speed:(207,217),Time:552us | Chế độ: THƯỜNG,PID:0.38,0.00,0.00
Error:R=7.88,F=0.00,Control:R=2,F=2,Speed:(210,214),Time:552us | Chế độ: THƯỜNG,PID:0.38,0.00,0.00
Checkpoint XANH LÁ: Kích hoạt tốc độ cao
Màu: XANH LÁ | R:2134(0.350) G:2568(0.421) B:1763(0.289) C:6104
Error:R=0.66,F=0.00,Control:R=0,F=0,Speed:(212,212),Time:551us | Chế độ: NHANH,PID:0.38,0.00,0.00
